date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
1946-11-18,1947,0,,PIT,TRH,1274.5563,1290.0051,0.6193324616424206,0.3806675383575794,1280.0704,1284.491,,,,,,,,,,,54,48,0,"",""
1946-11-19,1947,0,,PHW,STB,1308.6625,1315.3256,0.6311818677358428,0.36881813226415716,1301.0356,1322.9524,,,,,,,,,,,63,66,0,"",""
1946-11-19,1947,0,,TRH,CLR,1284.491,1307.6647,0.6087944899614355,0.3912055100385645,1278.2225,1313.9331,,,,,,,,,,,72,74,0,"",""
1946-11-20,1947,0,,DTF,PIT,1287.7742,1280.0704,0.6502169362549454,0.34978306374505463,1282.0223,1285.8223,,,,,,,,,,,53,54,0,"",""
1946-11-20,1947,0,,NYK,CHS,1300.3541,1328.0181,0.6026213588151966,0.39737864118480337,1304.5542,1323.818,,,,,,,,,,,72,69,0,"",""
1946-11-20,1947,0,,WSC,STB,1329.9454,1322.9524,0.6492857713858118,0.3507142286141882,1333.5576,1319.3402,,,,,,,,,,,54,51,1,"",""
1946-11-21,1947,0,,BOS,STB,1271.9004,1319.3402,0.5750684139442251,0.42493158605577486,1257.9297,1333.3109,,,,,,,,,,,53,65,0,"",""
1946-11-21,1947,0,,PHW,CHS,1301.0356,1323.818,0.6093308230889408,0.3906691769110592,1294.7595,1330.0941,,,,,,,,,,,63,65,0,"",""
1946-11-21,1947,0,,PRO,WSC,1285.7937,1333.5576,0.5746124463697673,0.42538755363023273,1274.9045,1344.4468,,,,,,,,,,,58,66,0,"",""
1946-11-22,1947,0,,TRH,BOS,1278.2225,1257.9297,0.6665141691499891,0.33348583085001093,1280.6818,1255.4705,,,,,,,,,,,83,82,0,"",""
1946-11-23,1947,0,,DTF,BOS,1282.0223,1255.4705,0.6744739842283684,0.32552601577163165,1287.39,1250.1028,,,,,,,,,,,54,46,0,"",""
1946-11-23,1947,0,,NYK,CLR,1304.5542,1313.9331,0.6275351431058852,0.3724648568941148,1309.9252,1308.5621,,,,,,,,,,,82,76,0,"",""
1946-11-23,1947,0,,PRO,STB,1274.9045,1333.3109,0.5595736719001148,0.44042632809988524,1265.9526,1342.2628,,,,,,,,,,,59,65,0,"",""
1946-11-23,1947,0,,WSC,TRH,1344.4468,1280.6818,0.7196461584380693,0.28035384156193066,1353.6788,1271.4497,,,,,,,,,,,74,50,0,"",""
1946-11-24,1947,0,,CHS,DTF,1330.0941,1287.39,0.6945484679916444,0.3054515320083556,1310.8802,1306.6039,,,,,,,,,,,55,68,0,"",""
1946-11-24,1947,0,,CLR,PIT,1308.5621,1285.8223,0.6696377432828511,0.3303622567171489,1311.4692,1282.9152,,,,,,,,,,,62,60,0,"",""
1946-11-25,1947,0,,BOS,PRO,1250.1028,1265.9526,0.6187880978741684,0.38121190212583156,1234.6626,1281.3928,,,,,,,,,,,59,71,0,"",""
1946-11-25,1947,0,,PIT,NYK,1282.9152,1309.9252,0.6035225443667784,0.39647745563322156,1264.8934,1327.9469,,,,,,,,,,,46,62,0,"",""
1946-11-26,1947,0,,DTF,CLR,1306.6039,1311.4692,0.6335877301310011,0.3664122698689989,1317.7588,1300.3143,,,,,,,,,,,66,46,0,"",""
1946-11-26,1947,0,,PHW,BOS,1294.7595,1234.6626,0.7153663426958158,0.2846336573041842,1300.6316,1228.7905,,,,,,,,,,,66,54,0,"",""
1946-11-26,1947,0,,TRH,WSC,1271.4497,1353.6788,0.5255521016780368,0.4744478983219632,1260.3845,1364.744,,,,,,,,,,,68,78,0,"",""
1946-11-27,1947,0,,NYK,STB,1327.9469,1342.2628,0.6208687671079863,0.37913123289201367,1333.9167,1336.293,,,,,,,,,,,67,60,1,"",""
1946-11-27,1947,0,,PIT,CLR,1264.8934,1300.3143,0.5918810917502593,0.40811890824974073,1268.6437,1296.5641,,,,,,,,,,,62,60,0,"",""
1946-11-27,1947,0,,WSC,CHS,1364.744,1310.8802,0.7080043288579024,0.29199567114209757,1369.4651,1306.1592,,,,,,,,,,,75,67,1,"",""
1946-11-28,1947,0,,BOS,PIT,1228.7905,1268.6437,0.5857037486989287,0.4142962513010713,1233.7903,1263.6439,,,,,,,,,,,59,55,0,"",""
1946-11-28,1947,0,,CHS,STB,1306.1592,1336.293,0.5992118383883398,0.4007881616116602,1299.0626,1343.3895,,,,,,,,,,,72,75,0,"",""
1946-11-28,1947,0,,PHW,DTF,1300.6316,1317.7588,0.6170520225292908,0.3829479774707092,1284.4366,1333.9537,,,,,,,,,,,55,68,0,"",""
1946-11-28,1947,0,,PRO,NYK,1281.3928,1333.9167,0.5679014959895908,0.43209850401040917,1275.6881,1339.6215,,,,,,,,,,,58,60,0,"",""
1946-11-29,1947,0,,TRH,CLR,1260.3845,1296.5641,0.5908256832596552,0.40917431674034477,1243.6194,1313.3292,,,,,,,,,,,72,87,0,"",""
1946-11-30,1947,0,,NYK,PHW,1339.6215,1284.4366,0.7095740235248067,0.2904259764751933,1342.8893,1281.1688,,,,,,,,,,,64,60,0,"",""
1946-11-30,1947,0,,PRO,TRH,1275.6881,1243.6194,0.681407694181615,0.31859230581838505,1283.1002,1236.2073,,,,,,,,,,,79,65,0,"",""
1946-11-30,1947,0,,STB,DTF,1343.3895,1333.9537,0.6524810961576504,0.3475189038423496,1346.9624,1330.3809,,,,,,,,,,,60,57,1,"",""
1946-11-30,1947,0,,WSC,PIT,1369.4651,1263.6439,0.7658101294622464,0.23418987053775364,1373.3796,1259.7294,,,,,,,,,,,49,40,0,"",""
1946-12-01,1947,0,,CHS,BOS,1299.0626,1233.7903,0.7213933933785025,0.2786066066214975,1304.1698,1228.6831,,,,,,,,,,,66,56,0,"",""
1946-12-01,1947,0,,CLR,DTF,1313.3292,1330.3809,0.6171547158291805,0.38284528417081953,1316.7987,1326.9114,,,,,,,,,,,49,47,0,"",""
1946-12-02,1947,0,,PIT,BOS,1259.7294,1228.6831,0.6801286618426159,0.3198713381573841,1252.3871,1236.0254,,,,,,,,,,,44,46,0,"",""
1946-12-03,1947,0,,PHW,PRO,1281.1688,1283.1002,0.6374996391214122,0.36250036087858784,1287.2725,1276.9966,,,,,,,,,,,76,68,0,"",""
1946-12-04,1947,0,,NYK,DTF,1342.8893,1326.9114,0.6609705837819629,0.33902941621803706,1350.4919,1319.3087,,,,,,,,,,,70,57,1,"",""
1946-12-04,1947,0,,PIT,CHS,1252.3871,1304.1698,0.5689481916450948,0.4310518083549052,1239.3546,1317.2023,,,,,,,,,,,46,57,0,"",""
1946-12-04,1947,0,,WSC,PRO,1373.3796,1276.9966,0.7559258876392453,0.2440741123607547,1379.8049,1270.5713,,,,,,,,,,,80,62,0,"",""
1946-12-05,1947,0,,BOS,DTF,1236.0254,1319.3087,0.5240387180605538,0.4759612819394462,1229.3071,1326.027,,,,,,,,,,,61,65,0,"",""
1946-12-05,1947,0,,CHS,TRH,1317.2023,1236.2073,0.7392147056302288,0.26078529436977116,1306.269,1247.1405,,,,,,,,,,,61,65,0,"",""
1946-12-05,1947,0,,PHW,NYK,1287.2725,1350.4919,0.5527346862709206,0.4472653137290794,1296.8409,1340.9235,,,,,,,,,,,62,51,0,"",""
1946-12-05,1947,0,,STB,PIT,1346.9624,1239.3546,0.7676495574976304,0.23235044250236958,1351.3506,1234.9664,,,,,,,,,,,66,55,0,"",""
1946-12-07,1947,0,,BOS,NYK,1229.3071,1340.9235,0.48328888311279555,0.5167111168872045,1210.9467,1359.2839,,,,,,,,,,,65,90,0,"",""
1946-12-07,1947,0,,CHS,CLR,1306.269,1316.7987,0.6259854546818276,0.37401454531817235,1312.6069,1310.4608,,,,,,,,,,,86,78,0,"",""
1946-12-07,1947,0,,PRO,TRH,1270.5713,1247.1405,0.6705171111060912,0.32948288889390875,1256.0878,1261.624,,,,,,,,,,,59,68,0,"",""
1946-12-07,1947,0,,STB,PHW,1351.3506,1296.8409,0.7087723922445269,0.2912276077554731,1334.5652,1313.6263,,,,,,,,,,,47,57,0,"",""
1946-12-07,1947,0,,WSC,DTF,1379.8049,1326.027,0.7079020923870002,0.2920979076129998,1385.5331,1320.2988,,,,,,,,,,,75,64,2,"",""
1946-12-08,1947,0,,CLR,PHW,1310.4608,1313.6263,0.6358563384373758,0.36414366156262423,1315.6875,1308.3997,,,,,,,,,,,72,66,0,"",""
1946-12-08,1947,0,,NYK,BOS,1359.2839,1210.9467,0.8068302303202236,0.1931697696797764,1364.1929,1206.0377,,,,,,,,,,,62,44,0,"",""
