iter	Logloss
0	0.6897618317
1	0.6858239292
2	0.6816301582
3	0.6776034773
4	0.6735397843
5	0.6704759834
6	0.6673071365
7	0.6634718209
8	0.6600499429
9	0.6562059891
10	0.6528380843
11	0.6487156892
12	0.6450677036
13	0.6422587623
14	0.6381515629
15	0.6348465849
16	0.6321164596
17	0.6285732049
18	0.6254427571
19	0.6219749766
20	0.6185754823
21	0.6166393816
22	0.613427974
23	0.6107105854
24	0.6080286956
25	0.6051717711
26	0.6027095574
27	0.5997869949
28	0.5971318395
29	0.5946442155
30	0.5918978857
31	0.5900798199
32	0.5876955395
33	0.5847852723
34	0.5825574891
35	0.5802196156
36	0.5779206457
37	0.5753025023
38	0.5727673996
39	0.5707359629
40	0.5681478327
41	0.566033986
42	0.5638276408
43	0.5616434901
44	0.5597461669
45	0.5571819337
46	0.5553800725
47	0.553037407
48	0.5513707941
49	0.5494782629
50	0.5472673148
51	0.5451150689
52	0.5427672331
53	0.5408297452
54	0.5390020954
55	0.5367011709
56	0.5348024605
57	0.5334058399
58	0.5317875886
59	0.530628425
60	0.5292057636
61	0.5272931501
62	0.52526474
63	0.5237981308
64	0.5222524217
65	0.5202408783
66	0.5187535562
67	0.5169090082
68	0.5150711753
69	0.5139803295
70	0.5119836981
71	0.5101406003
72	0.5084019811
73	0.5069767976
74	0.505857042
75	0.5046434639
76	0.503251856
77	0.501633384
78	0.4999272055
79	0.4988705974
80	0.4977415101
81	0.4958584368
82	0.4943791224
83	0.4927149371
84	0.4909905678
85	0.4894706159
86	0.488018824
87	0.4862738996
88	0.4852804389
89	0.4841152223
90	0.4832864556
91	0.4821310753
92	0.4810157019
93	0.479431972
94	0.4781214817
95	0.4770103959
96	0.4758735215
97	0.4745200922
98	0.4726648882
99	0.4715913189
100	0.469986624
101	0.4687897863
102	0.4675791086
103	0.46637874
104	0.4653315268
105	0.4642193061
106	0.4631770741
107	0.4622987794
108	0.4608550899
109	0.4597320557
110	0.4586735875
111	0.4576264689
112	0.4565055784
113	0.4557064466
114	0.4544964625
115	0.4535654872
116	0.4524494203
117	0.4512682198
118	0.4499765191
119	0.4487333061
120	0.4475512544
121	0.4467515551
122	0.445725307
123	0.4447857565
124	0.443750681
125	0.4428818758
126	0.4421120005
127	0.4414106637
128	0.4403278572
129	0.4393848703
130	0.4387068315
131	0.4375302654
132	0.4367864309
133	0.4361007943
134	0.4345883771
135	0.4337473467
136	0.433073564
137	0.4321106209
138	0.4314706345
139	0.4305019852
140	0.4297921362
141	0.4290069076
142	0.4282106762
143	0.4275159599
144	0.4269471287
145	0.4263188386
146	0.4258318184
147	0.4252055775
148	0.4245056278
149	0.4232429946
150	0.4225441483
151	0.4216711501
152	0.4209357648
153	0.4202390308
154	0.420002961
155	0.4192144851
156	0.4182898782
157	0.417635831
158	0.4167827259
159	0.4161924882
160	0.4153644152
161	0.414669825
162	0.4138912485
163	0.4132256941
164	0.4128250248
165	0.4120018068
166	0.4112232933
167	0.4105812262
168	0.4095633641
169	0.4086932033
170	0.4079613173
171	0.4072958576
172	0.4064464727
173	0.4055331837
174	0.4049788546
175	0.4043234833
176	0.4037131633
177	0.4032130281
178	0.4023579684
179	0.40198107
180	0.4013995021
181	0.4009332578
182	0.4002356411
183	0.3997170314
184	0.3991465293
185	0.3983066023
186	0.3977065599
187	0.3969798443
188	0.3964744127
189	0.3959579153
190	0.3953511892
191	0.3948914394
192	0.3941684754
193	0.393329841
194	0.3925764856
195	0.3919373189
196	0.3910905507
197	0.3907331356
198	0.3899971197
199	0.3897985033
200	0.3891485861
201	0.3886681234
202	0.3880950676
203	0.387612934
204	0.3869016663
205	0.3864144885
206	0.3857870811
207	0.3855050142
208	0.3852330673
209	0.3843893887
210	0.3839795452
211	0.3835861584
212	0.3831152482
213	0.3825411205
214	0.3819846161
215	0.3814800672
216	0.381271047
217	0.3807888189
218	0.3802565898
219	0.3798894646
220	0.3793950041
221	0.3787007923
222	0.3783142153
223	0.3777920431
224	0.3771550202
225	0.376369098
226	0.3757547111
227	0.3751729224
228	0.3749055784
229	0.3743601397
230	0.3739405861
231	0.3732583543
232	0.3725683669
233	0.3720793921
234	0.371622921
235	0.3711117516
236	0.3704535114
237	0.3700048904
238	0.3695725055
239	0.3692107713
240	0.36882741
241	0.3684063115
242	0.3679859382
243	0.3675336917
244	0.3666938593
245	0.3660596107
246	0.3658586612
247	0.365451529
248	0.3651339949
249	0.3642379193
250	0.3638555984
251	0.3636318869
252	0.3632129007
253	0.3628094255
254	0.3622474355
255	0.3617718909
256	0.3609745877
257	0.3605332493
258	0.3600576417
259	0.3597264881
260	0.3592806729
261	0.3586085611
262	0.3581874311
263	0.3577704311
264	0.3573519179
265	0.3568446262
266	0.3562167459
267	0.3558578491
268	0.3554684978
269	0.3551970238
270	0.3546385332
271	0.354163493
272	0.3533518137
273	0.3528646044
274	0.3524549815
275	0.3518260294
276	0.3513612984
277	0.3510249429
278	0.3505595814
279	0.3500739484
280	0.349532419
281	0.3491999729
282	0.3488618835
283	0.3481410003
284	0.3475128678
285	0.3468626038
286	0.3462533872
287	0.3457918719
288	0.3455338912
289	0.3453084772
290	0.3449695051
291	0.3443160569
292	0.3439599029
293	0.3438014196
294	0.3435428399
295	0.3433310138
296	0.343051406
297	0.3425750102
298	0.3423506682
299	0.3420861615
300	0.341675782
301	0.3412427666
302	0.340893643
303	0.3405425647
304	0.3401665806
305	0.3398376339
306	0.3393770959
307	0.3387675955
308	0.3382174279
309	0.3378725919
310	0.337488537
311	0.3371435749
312	0.3366490829
313	0.3362546558
314	0.3358758974
315	0.3354893834
316	0.3349918649
317	0.3345890518
318	0.3341604185
319	0.3337257007
320	0.3334088917
321	0.3330481033
322	0.332649294
323	0.3324166921
324	0.331973399
325	0.3316466592
326	0.3313523285
327	0.3309965212
328	0.3308471806
329	0.3303938937
330	0.3300078841
331	0.329520927
332	0.3291322692
333	0.3288630336
334	0.3286729292
335	0.3282250649
336	0.327888741
337	0.3274760916
338	0.3270759583
339	0.3266078224
340	0.3261151905
341	0.325735234
342	0.3253048983
343	0.3251224234
344	0.3247163315
345	0.3244032426
346	0.3241399655
347	0.3238398339
348	0.3233055556
349	0.3228008806
350	0.3225912299
351	0.3222613059
352	0.3220271907
353	0.3216114517
354	0.3212540051
355	0.321091581
356	0.3207931519
357	0.3203027583
358	0.319887776
359	0.319608515
360	0.3192402863
361	0.3189146499
362	0.3185473355
363	0.3180705299
364	0.3176287817
365	0.3172610575
366	0.3169997349
367	0.3166660277
368	0.316459971
369	0.316126516
370	0.3158786238
371	0.3154259674
372	0.3150498571
373	0.3148081125
374	0.3144622677
375	0.3140869456
376	0.3136615596
377	0.3131438957
378	0.312980778
379	0.3127302059
380	0.3124525527
381	0.3121800699
382	0.3118811994
383	0.3115690247
384	0.3112479596
385	0.3109196119
386	0.310661442
387	0.31047531
388	0.3102887997
389	0.3098447815
390	0.3096513354
391	0.3093888464
392	0.3089467829
393	0.3087024846
394	0.3084061993
395	0.3081634458
396	0.3080432356
397	0.3078106336
398	0.3074396937
399	0.307017681
400	0.3067756842
401	0.3065740412
402	0.3063905574
403	0.3061897971
404	0.3061019015
405	0.3057143787
406	0.3054925588
407	0.3053376379
408	0.3051352067
409	0.3045427307
410	0.3043914669
411	0.3042796742
412	0.3039947068
413	0.3036474118
414	0.3034845778
415	0.303377451
416	0.3030757116
417	0.3028803423
418	0.3025454687
419	0.3022204312
420	0.3020209951
421	0.3016026394
422	0.3012197826
423	0.3009981833
424	0.3007615775
425	0.3003652273
426	0.3001742402
427	0.2998767569
428	0.2996482534
429	0.299396042
430	0.299005272
431	0.298576954
432	0.2983133616
433	0.2979032658
434	0.2975138514
435	0.2973081731
436	0.2971073813
437	0.296882125
438	0.2967319961
439	0.296553998
440	0.2964434663
441	0.2961970558
442	0.2959036709
443	0.295583993
444	0.2952518306
445	0.295113997
446	0.2950115992
447	0.2948231342
448	0.2946261571
449	0.2942946253
450	0.2937295141
451	0.2933525212
452	0.293121527
453	0.2930097344
454	0.292826818
455	0.2925206965
456	0.2922150793
457	0.2919163349
458	0.2917697686
459	0.2914488296
460	0.2911488241
461	0.2909218969
462	0.2906504229
463	0.2904583639
464	0.2901639071
465	0.2899213744
466	0.2896378572
467	0.2894964927
468	0.2893911945
469	0.2891571423
470	0.2890556903
471	0.288807735
472	0.2885066261
473	0.2882457765
474	0.2880987372
475	0.2877875084
476	0.287383781
477	0.2872517168
478	0.2871068844
479	0.2870110126
480	0.2869354437
481	0.2868288529
482	0.2867306165
483	0.2865041307
484	0.2863316181
485	0.2861470624
486	0.2859397447
487	0.2857345392
488	0.2854089973
489	0.2851554934
490	0.2850174076
491	0.2848009787
492	0.2844704557
493	0.2843033972
494	0.2842097637
495	0.2838500157
496	0.2837024405
497	0.2834431987
498	0.2831955587
499	0.2829259762
500	0.2826658517
501	0.2821851368
502	0.2819340603
503	0.2817045795
504	0.2812871381
505	0.2810670837
506	0.2807921102
507	0.2805348546
508	0.2803924813
509	0.2800130608
510	0.2797665557
511	0.2796019877
512	0.279373232
513	0.2792714962
514	0.2790669213
515	0.278739677
516	0.2786129723
517	0.2784050555
518	0.2782846561
519	0.278093669
520	0.2775450777
521	0.2773504651
522	0.2771834697
523	0.2770160644
524	0.2765809682
525	0.2763492805
526	0.2762169326
527	0.2759202374
528	0.275756363
529	0.2756369094
530	0.2753589094
531	0.2749487822
532	0.2745514231
533	0.2744925633
534	0.2743358139
535	0.2740885206
536	0.2738199786
537	0.2734586858
538	0.2733112682
539	0.2730128706
540	0.2728400743
541	0.272683451
542	0.2725383033
543	0.272250341
544	0.2719131659
545	0.2717459182
546	0.2714790155
547	0.2713624308
548	0.2710449912
549	0.2707830382
550	0.2706547572
551	0.2705010658
552	0.2702784262
553	0.2700286109
554	0.2699333695
555	0.2697353521
556	0.2694561856
557	0.2693220407
558	0.2690472563
559	0.2689184079
560	0.2688140869
561	0.2686851438
562	0.2682844115
563	0.2680657757
564	0.2679171602
565	0.2676944575
566	0.2675533768
567	0.2673170547
568	0.2671971597
569	0.2670575292
570	0.2668844176
571	0.2667556637
572	0.2666968354
573	0.2665342851
574	0.2663924793
575	0.2661707854
576	0.2660021191
577	0.2659187317
578	0.2657400084
579	0.2654227265
580	0.2651309809
581	0.2650117795
582	0.2647542087
583	0.2646539862
584	0.2643165588
585	0.264157508
586	0.2638444979
587	0.2636254996
588	0.263457117
589	0.2633212381
590	0.2631146455
591	0.2629496204
592	0.2628133474
593	0.262595957
594	0.2622533751
595	0.2620655722
596	0.2618581598
597	0.2616426767
598	0.2614106107
599	0.2612571401
600	0.2610718278
601	0.2608801787
602	0.2607184796
603	0.2603544755
604	0.2600988908
605	0.2597813409
606	0.2595755837
607	0.2592916252
608	0.2589681011
609	0.2586551225
610	0.2583095456
611	0.2581097626
612	0.2579902933
613	0.2578106242
614	0.2575430909
615	0.2574558573
616	0.2572330601
617	0.2569187259
618	0.2566983089
619	0.2563758409
620	0.2562322695
621	0.2559490992
622	0.2557344831
623	0.2555158316
624	0.2552153217
625	0.2551228705
626	0.2550332881
627	0.254910808
628	0.2547102526
629	0.2545788347
630	0.2542639961
631	0.254022551
632	0.2537506986
633	0.2536161281
634	0.2535625174
635	0.2533672743
636	0.2530087715
637	0.2529239655
638	0.2527075208
639	0.2524973657
640	0.2523434537
641	0.25205278
642	0.2518869826
643	0.251736633
644	0.2515570585
645	0.2514025475
646	0.2511148059
647	0.2509510576
648	0.2505893865
649	0.250222482
650	0.2500319993
651	0.2498307031
652	0.2497167824
653	0.2495398403
654	0.2493961114
655	0.2493615269
656	0.2492440279
657	0.2491193724
658	0.2488292347
659	0.2487453587
660	0.2485750687
661	0.2482688683
662	0.2480851954
663	0.2476717263
664	0.2474042404
665	0.2471657587
666	0.2468269916
667	0.2467570975
668	0.246546296
669	0.2463788434
670	0.2461703907
671	0.2459030624
672	0.245567842
673	0.2453810479
674	0.2451248011
675	0.2450632616
676	0.2447405571
677	0.2446205045
678	0.2444183097
679	0.2442865923
680	0.2441609595
681	0.2438257076
682	0.2436848633
683	0.2434880753
684	0.2434160217
685	0.2432351546
686	0.2428409324
687	0.2427684059
688	0.2426758758
689	0.2426005592
690	0.2425235874
691	0.2424443458
692	0.2421649271
693	0.2421062249
694	0.2418932324
695	0.2417363096
696	0.2416692056
697	0.2413855624
698	0.2413013553
699	0.2411197946
700	0.2410646391
701	0.2408397769
702	0.2406044322
703	0.2403694973
704	0.2401812214
705	0.2399816592
706	0.2398715847
707	0.239728502
708	0.239409896
709	0.2391821176
710	0.2390027164
711	0.2388611155
712	0.2386075485
713	0.2384868969
714	0.2383395266
715	0.2380303627
716	0.2378487705
717	0.2376155538
718	0.2372424543
719	0.2369772068
720	0.2368174151
721	0.2366006394
722	0.2362411594
723	0.2360881774
724	0.2359247759
725	0.2358314577
726	0.2357152356
727	0.2355737292
728	0.2353912858
729	0.235063411
730	0.2349826403
731	0.2345967726
732	0.2344439641
733	0.234370539
734	0.2342512746
735	0.2341130785
736	0.2339614364
737	0.23381807
738	0.2337271005
739	0.233533607
740	0.2334364584
741	0.2333286065
742	0.2331415444
743	0.2328489004
744	0.2326707131
745	0.2324812393
746	0.232337731
747	0.2321812023
748	0.2319058505
749	0.2317938371
750	0.2314115635
751	0.2311059621
752	0.231075476
753	0.2309215325
754	0.2308119624
755	0.2307475382
756	0.2305141481
757	0.2302488374
758	0.2299976507
759	0.2298406806
760	0.2296425843
761	0.2294638925
762	0.2291729352
763	0.2291054213
764	0.2289847382
765	0.2285933061
766	0.2284525406
767	0.2283607987
768	0.2282678431
769	0.2280234029
770	0.2277305855
771	0.2275883383
772	0.2274678601
773	0.2272228209
774	0.2271011289
775	0.2269183072
776	0.2267501137
777	0.2266524764
778	0.2264917862
779	0.2263967341
780	0.2262945569
781	0.2262017274
782	0.2259644122
783	0.2257764674
784	0.2256065873
785	0.2254094368
786	0.2252945072
787	0.2252020718
788	0.225176362
789	0.2249991362
790	0.2247618683
791	0.2246592183
792	0.2244536029
793	0.2243673466
794	0.2241295113
795	0.2240779025
796	0.2239977624
797	0.2237825788
798	0.2235820865
799	0.2233544342
800	0.2232610056
801	0.2229469552
802	0.2227355862
803	0.2224418388
804	0.2223556613
805	0.2222619017
806	0.2218912298
807	0.2217750234
808	0.2217114661
809	0.2214585612
810	0.2212754242
811	0.2210236699
812	0.2207675335
813	0.2206126757
814	0.2202981208
815	0.2201860601
816	0.2199808546
817	0.2195423536
818	0.2194245867
819	0.2191411956
820	0.2190943631
821	0.2189098705
822	0.2187491488
823	0.2184259084
824	0.2182943013
825	0.2180286439
826	0.2179271603
827	0.2177834314
828	0.2174573693
829	0.2173709396
830	0.217086461
831	0.2170647235
832	0.2169467043
833	0.2167612501
834	0.2166309514
835	0.2164378521
836	0.2161914731
837	0.2160393581
838	0.2158121472
839	0.2157116409
840	0.2155707809
841	0.2152567304
842	0.2151658397
843	0.2150987357
844	0.2149044384
845	0.2148078729
846	0.2146394115
847	0.2145310079
848	0.2143511654
849	0.2142704735
850	0.2142342181
851	0.2141874644
852	0.2140100022
853	0.2138354089
854	0.2135784212
855	0.2135103714
856	0.2134199694
857	0.2131118774
858	0.2130110244
859	0.2128886073
860	0.2126839378
861	0.2125614891
862	0.2124295511
863	0.212344146
864	0.2120246572
865	0.2118416463
866	0.2117141062
867	0.2114742058
868	0.2114191922
869	0.2113257794
870	0.2112076026
871	0.2110734419
872	0.2108082417
873	0.2107408066
874	0.2105903468
875	0.2104355836
876	0.2103340527
877	0.2102184138
878	0.2100360019
879	0.2099566026
880	0.2097528001
881	0.209714858
882	0.2095393031
883	0.2094520222
884	0.2093198477
885	0.2091589841
886	0.2089557017
887	0.2088022311
888	0.2087061228
889	0.2084934455
890	0.2083929393
891	0.2081201096
892	0.2080022796
893	0.2078399973
894	0.207641176
895	0.207451781
896	0.2072675721
897	0.2070344972
898	0.2069352678
899	0.2068431318
900	0.2068000352
901	0.2065426377
902	0.2062677746
903	0.2061272613
904	0.2059085941
905	0.2058296992
906	0.2055826896
907	0.2054646547
908	0.2052627753
909	0.2051369848
910	0.2049038942
911	0.2048019851
912	0.2043041198
913	0.2041713147
914	0.2039659201
915	0.2038246344
916	0.2036240948
917	0.2033515489
918	0.2031462173
919	0.2029393724
